time,senid,value,anomaly_type,severity,details
2024/1/3 3:00,1001-1012,5.75,sharp_change,medium,相邻 15 分钟变化 1.190
2024/1/26 3:00,1001-1012,5.79,sharp_change,medium,相邻 15 分钟变化 1.230
2024/1/31 4:00,1001-1012,2.76,sharp_change,medium,相邻 15 分钟变化 1.490
2024/2/5 3:30,1001-1012,4.1,sharp_change,medium,相邻 15 分钟变化 1.300
2024/2/5 23:45,1001-1012,6.54,sharp_change,medium,相邻 15 分钟变化 1.290
2024/2/8 3:00,1001-1012,5.9,sharp_change,medium,相邻 15 分钟变化 1.220
2024/2/20 2:45,1001-1012,6.5,sharp_change,medium,相邻 15 分钟变化 1.190
2024/2/26 2:45,1001-1012,6.56,sharp_change,medium,相邻 15 分钟变化 1.220
2024/2/27 3:00,1001-1012,5.6,sharp_change,medium,相邻 15 分钟变化 1.190
2024/2/29 2:30,1001-1012,7.38,sharp_change,medium,相邻 15 分钟变化 1.320
2024/3/7 3:45,1001-1012,3.17,sharp_change,medium,相邻 15 分钟变化 1.210
2024/3/14 3:15,1001-1012,4.42,sharp_change,medium,相邻 15 分钟变化 1.300
2024/3/19 2:30,1001-1012,6.47,sharp_change,medium,相邻 15 分钟变化 1.370
2024/4/12 2:45,1001-1012,6.02,sharp_change,medium,相邻 15 分钟变化 1.210
2024/4/16 2:30,1001-1012,6.7,sharp_change,medium,相邻 15 分钟变化 1.260
2024/4/22 3:30,1001-1012,3.51,sharp_change,medium,相邻 15 分钟变化 1.290
2024/4/25 2:45,1001-1012,5.92,sharp_change,medium,相邻 15 分钟变化 1.190
2024/5/13 2:30,1001-1012,6.47,sharp_change,medium,相邻 15 分钟变化 1.240
2024/6/14 0:45,1001-1012,8.55,sharp_change,medium,相邻 15 分钟变化 1.270
2024/6/14 2:45,1001-1012,5.95,sharp_change,medium,相邻 15 分钟变化 1.210
2024/6/24 0:00,1001-1012,6.55,sharp_change,medium,相邻 15 分钟变化 1.250
2024/6/25 3:30,1001-1012,3.79,sharp_change,medium,相邻 15 分钟变化 1.320
2024/7/8 0:00,1001-1012,7.24,sharp_change,medium,相邻 15 分钟变化 1.210
2024/8/13 2:30,1001-1012,7.35,sharp_change,medium,相邻 15 分钟变化 1.200
2024/8/21 3:45,1001-1012,3.39,sharp_change,medium,相邻 15 分钟变化 1.250
2024/8/29 3:30,1001-1012,4.13,sharp_change,medium,相邻 15 分钟变化 1.210
2024/9/20 3:00,1001-1012,5.19,sharp_change,medium,相邻 15 分钟变化 1.230
2024/10/7 3:00,1001-1012,5.11,sharp_change,medium,相邻 15 分钟变化 1.250
2024/10/15 2:45,1001-1012,5.81,sharp_change,medium,相邻 15 分钟变化 1.370
2024/10/18 3:00,1001-1012,5.0,sharp_change,medium,相邻 15 分钟变化 1.400
2024/10/29 2:45,1001-1012,6.01,sharp_change,medium,相邻 15 分钟变化 1.380
