column_name,declared_dtype,null_count,null_ratio,unique_count,min_value,max_value,sample_values
NAME,string,0,0.0,1,,,"电动汽车充电站, 电动汽车充电站, 电动汽车充电站"
SENID,string,0,0.0,1,,,"1001-1012, 1001-1012, 1001-1012"
TIME,datetime,0,0.0,29280,2024/1/1 0:00,2024/10/31 23:45,"2024-01-01 00:00:00, 2024-01-01 00:15:00, 2024-01-01 00:30:00"
V,float,0,0.0,846,1.21,9.85,"6.93, 7.48, 8.22"
AVGV,float,0,0.0,31,4.68,6.8,"5.17, 5.17, 5.17"
MAXV,float,0,0.0,104,8.36,9.85,"9.61, 9.61, 9.61"
MAXT,datetime,0,0.0,305,2024/1/1 1:30,2024/10/31 1:30,"2024-01-01 01:30:00, 2024-01-01 01:30:00, 2024-01-01 01:30:00"
MINV,float,0,0.0,106,1.21,2.67,"1.76, 1.76, 1.76"
MINT,datetime,0,0.0,305,2024/1/1 5:45,2024/10/31 5:15,"2024-01-01 05:45:00, 2024-01-01 05:45:00, 2024-01-01 05:45:00"
S,float,0,0.0,49,0.216,0.264,"0.241, 0.251, 0.244"
AVGS,float,0,0.0,9,0.237,0.245,"0.24, 0.24, 0.24"
MAXS,float,0,0.0,15,0.25,0.264,"0.26, 0.26, 0.26"
MINS,float,0,0.0,16,0.216,0.231,"0.223, 0.223, 0.223"
SPAN,float,0,0.0,20,0.023,0.042,"0.037, 0.037, 0.037"
