slot_index,time_of_day,mean_v,std_v,p05_v,p50_v,p95_v
0,00:00,6.33118,0.419745,5.64,6.28,6.988
1,00:15,6.838033,0.545693,5.852,6.83,7.666
2,00:30,7.34177,0.644578,6.192,7.36,8.23
3,00:45,7.800459,0.756931,6.444,7.9,8.78
4,01:00,8.159049,0.801707,6.712,8.26,9.228
5,01:15,8.408852,0.82969,6.92,8.51,9.52
6,01:30,8.458262,0.768683,7.082,8.54,9.49
7,01:45,8.386852,0.678916,7.166,8.39,9.368
8,02:00,8.122492,0.542168,7.21,8.07,8.958
9,02:15,7.742984,0.414272,7.16,7.66,8.39
10,02:30,7.222525,0.37242,6.702,7.13,7.828
11,02:45,6.616426,0.4789,5.982,6.62,7.598
12,03:00,5.957311,0.617361,5.22,5.84,7.246
13,03:15,5.304525,0.7644,4.47,5.06,6.8
14,03:30,4.653738,0.894571,3.82,4.28,6.388
15,03:45,4.076459,0.981146,3.18,3.61,5.9
16,04:00,3.534721,1.034835,2.602,3.03,5.466
17,04:15,3.096426,1.016897,2.192,2.57,4.98
18,04:30,2.727836,1.00227,1.87,2.2,4.55
19,04:45,2.460262,0.912329,1.67,1.99,4.13
20,05:00,2.276262,0.821263,1.51,1.86,3.76
21,05:15,2.14623,0.703746,1.49,1.82,3.4
22,05:30,2.10741,0.575297,1.552,1.85,3.23
23,05:45,2.123902,0.445839,1.578,1.97,2.958
24,06:00,2.208328,0.322306,1.82,2.11,2.778
25,06:15,2.342,0.206776,2.012,2.33,2.678
26,06:30,2.535705,0.204491,2.21,2.52,2.86
27,06:45,2.759115,0.281368,2.252,2.77,3.188
28,07:00,3.032,0.389595,2.34,3.09,3.566
29,07:15,3.320361,0.486893,2.41,3.48,3.926
30,07:30,3.626197,0.629129,2.522,3.84,4.35
31,07:45,3.933574,0.741094,2.642,4.2,4.75
32,08:00,4.253902,0.833949,2.802,4.57,5.188
33,08:15,4.56341,0.900265,3.01,4.9,5.52
34,08:30,4.838689,0.956792,3.172,5.18,5.87
35,08:45,5.107607,0.960953,3.4,5.47,6.148
36,09:00,5.330951,0.957007,3.634,5.69,6.368
37,09:15,5.46859,0.887416,3.904,5.75,6.46
38,09:30,5.599967,0.77334,4.252,5.82,6.516
39,09:45,5.634328,0.653863,4.472,5.76,6.488
40,10:00,5.658721,0.500315,4.756,5.68,6.378
41,10:15,5.59623,0.34462,5.092,5.54,6.158
42,10:30,5.504262,0.314727,5.08,5.45,6.058
43,10:45,5.391934,0.489546,4.752,5.37,6.39
44,11:00,5.231508,0.731864,4.472,5.0,6.704
45,11:15,5.034787,0.995231,4.09,4.62,6.988
46,11:30,4.87459,1.289976,3.732,4.23,7.276
47,11:45,4.677213,1.599793,3.38,3.83,7.648
48,12:00,4.495443,1.867112,3.032,3.46,7.908
49,12:15,4.332984,2.086063,2.742,3.14,8.08
50,12:30,4.204787,2.308876,2.494,2.89,8.368
51,12:45,4.085115,2.492925,2.3,2.61,8.558
52,13:00,4.011148,2.673154,2.094,2.43,8.72
53,13:15,3.953639,2.773308,1.95,2.34,8.83
54,13:30,3.91282,2.858955,1.882,2.22,8.93
55,13:45,3.93118,2.893927,1.852,2.21,8.97
56,14:00,3.972623,2.908926,1.892,2.25,9.118
57,14:15,4.040885,2.869391,1.982,2.36,9.198
58,14:30,4.13777,2.793993,2.14,2.5,9.05
59,14:45,4.260525,2.69102,2.3,2.68,9.066
60,15:00,4.43541,2.549322,2.562,2.95,9.028
61,15:15,4.603574,2.403272,2.804,3.25,8.9
62,15:30,4.792426,2.227116,3.122,3.52,8.776
63,15:45,5.055836,2.03426,3.492,3.92,8.748
64,16:00,5.285803,1.839651,3.78,4.29,8.63
65,16:15,5.553148,1.651315,4.192,4.71,8.664
66,16:30,5.837344,1.478169,4.552,5.1,8.68
67,16:45,6.12141,1.27965,5.002,5.53,8.568
68,17:00,6.419016,1.116056,5.37,5.98,8.588
69,17:15,6.710623,0.978678,5.75,6.36,8.648
70,17:30,6.981869,0.887186,6.08,6.76,8.846
71,17:45,7.238951,0.800362,6.36,7.08,8.892
72,18:00,7.467607,0.741441,6.612,7.4,9.008
73,18:15,7.672131,0.725754,6.83,7.6,9.204
74,18:30,7.818066,0.708651,6.98,7.78,9.304
75,18:45,7.930984,0.695462,7.12,7.88,9.398
76,19:00,7.961934,0.714273,7.082,7.94,9.418
77,19:15,7.939738,0.741362,7.092,7.86,9.47
78,19:30,7.879967,0.772171,6.99,7.79,9.43
79,19:45,7.742557,0.802192,6.84,7.63,9.35
80,20:00,7.535115,0.820369,6.62,7.39,9.218
81,20:15,7.27718,0.855247,6.372,7.09,9.058
82,20:30,6.992426,0.847915,6.09,6.77,8.688
83,20:45,6.666754,0.85104,5.792,6.39,8.33
84,21:00,6.324066,0.833865,5.432,6.1,7.96
85,21:15,5.956984,0.827234,5.102,5.67,7.608
86,21:30,5.621934,0.81041,4.782,5.38,7.234
87,21:45,5.288426,0.765517,4.462,5.04,6.794
88,22:00,5.051639,0.717241,4.262,4.81,6.46
89,22:15,4.855443,0.665301,4.11,4.67,6.16
90,22:30,4.742918,0.586792,4.082,4.58,5.912
91,22:45,4.755246,0.507091,4.112,4.62,5.788
92,23:00,4.856984,0.423576,4.314,4.81,5.67
93,23:15,5.073607,0.350971,4.584,5.08,5.716
94,23:30,5.412262,0.307759,4.972,5.36,5.938
95,23:45,5.838885,0.32954,5.39,5.75,6.378
