weekday,weekday_name,slot_index,mean_v
0,Mon,0,6.483409
0,Mon,1,7.064091
0,Mon,2,7.675455
0,Mon,3,8.192955
0,Mon,4,8.587045
0,Mon,5,8.833409
0,Mon,6,8.882045
0,Mon,7,8.728636
0,Mon,8,8.345
0,Mon,9,7.828636
0,Mon,10,7.167955
0,Mon,11,6.419091
0,Mon,12,5.644773
0,Mon,13,4.87
0,Mon,14,4.097955
0,Mon,15,3.496364
0,Mon,16,2.892727
0,Mon,17,2.504773
0,Mon,18,2.118182
0,Mon,19,1.910909
0,Mon,20,1.753182
0,Mon,21,1.735455
0,Mon,22,1.7475
0,Mon,23,1.835
0,Mon,24,2.065682
0,Mon,25,2.218182
0,Mon,26,2.566364
0,Mon,27,2.890909
0,Mon,28,3.211364
0,Mon,29,3.596591
0,Mon,30,3.994091
0,Mon,31,4.420227
0,Mon,32,4.758636
0,Mon,33,5.124091
0,Mon,34,5.414091
0,Mon,35,5.715682
0,Mon,36,5.849773
0,Mon,37,5.977727
0,Mon,38,6.049773
0,Mon,39,5.997273
0,Mon,40,5.919091
0,Mon,41,5.692955
0,Mon,42,5.465682
0,Mon,43,5.167955
0,Mon,44,4.793409
0,Mon,45,4.410682
0,Mon,46,4.096818
0,Mon,47,3.683409
0,Mon,48,3.339091
0,Mon,49,3.037955
0,Mon,50,2.766818
0,Mon,51,2.536136
0,Mon,52,2.330682
0,Mon,53,2.203636
0,Mon,54,2.125455
0,Mon,55,2.136364
0,Mon,56,2.162045
0,Mon,57,2.247045
0,Mon,58,2.413864
0,Mon,59,2.593864
0,Mon,60,2.853409
0,Mon,61,3.108636
0,Mon,62,3.436591
0,Mon,63,3.753864
0,Mon,64,4.135455
0,Mon,65,4.575227
0,Mon,66,4.924545
0,Mon,67,5.326591
0,Mon,68,5.739773
0,Mon,69,6.145682
0,Mon,70,6.463864
0,Mon,71,6.801364
0,Mon,72,7.057955
0,Mon,73,7.276818
0,Mon,74,7.439318
0,Mon,75,7.589318
0,Mon,76,7.600455
0,Mon,77,7.555227
0,Mon,78,7.508409
0,Mon,79,7.322045
0,Mon,80,7.076591
0,Mon,81,6.792045
0,Mon,82,6.516591
0,Mon,83,6.203864
0,Mon,84,5.820682
0,Mon,85,5.461818
0,Mon,86,5.138636
0,Mon,87,4.838636
0,Mon,88,4.606591
0,Mon,89,4.492273
0,Mon,90,4.421136
0,Mon,91,4.496364
0,Mon,92,4.642955
0,Mon,93,4.930455
0,Mon,94,5.374091
0,Mon,95,5.899091
1,Tue,0,6.490909
1,Tue,1,7.135
1,Tue,2,7.68
1,Tue,3,8.190455
1,Tue,4,8.582955
1,Tue,5,8.875682
1,Tue,6,8.828636
1,Tue,7,8.675909
1,Tue,8,8.370682
1,Tue,9,7.845909
1,Tue,10,7.144773
1,Tue,11,6.388864
1,Tue,12,5.6525
1,Tue,13,4.877727
1,Tue,14,4.11
1,Tue,15,3.486591
1,Tue,16,2.939773
1,Tue,17,2.496364
1,Tue,18,2.122273
1,Tue,19,1.876136
1,Tue,20,1.734773
1,Tue,21,1.700227
1,Tue,22,1.805682
1,Tue,23,1.864545
1,Tue,24,2.050455
1,Tue,25,2.283409
1,Tue,26,2.551364
1,Tue,27,2.857955
1,Tue,28,3.255
1,Tue,29,3.622045
1,Tue,30,4.017273
1,Tue,31,4.352045
1,Tue,32,4.755227
1,Tue,33,5.093864
1,Tue,34,5.385909
1,Tue,35,5.640227
1,Tue,36,5.876136
1,Tue,37,5.986818
1,Tue,38,6.043409
1,Tue,39,6.022045
1,Tue,40,5.879318
1,Tue,41,5.682045
1,Tue,42,5.453409
1,Tue,43,5.152955
1,Tue,44,4.835455
1,Tue,45,4.431136
1,Tue,46,4.083182
1,Tue,47,3.679091
1,Tue,48,3.320227
1,Tue,49,3.0425
1,Tue,50,2.7575
1,Tue,51,2.545909
1,Tue,52,2.345455
1,Tue,53,2.224773
1,Tue,54,2.163409
1,Tue,55,2.131136
1,Tue,56,2.156818
1,Tue,57,2.228182
1,Tue,58,2.442045
1,Tue,59,2.600227
1,Tue,60,2.843636
1,Tue,61,3.105227
1,Tue,62,3.377273
1,Tue,63,3.828409
1,Tue,64,4.134545
1,Tue,65,4.516136
1,Tue,66,4.917273
1,Tue,67,5.379091
1,Tue,68,5.780455
1,Tue,69,6.127045
1,Tue,70,6.478636
1,Tue,71,6.807727
1,Tue,72,7.035455
1,Tue,73,7.270227
1,Tue,74,7.431364
1,Tue,75,7.584545
1,Tue,76,7.593636
1,Tue,77,7.546136
1,Tue,78,7.443636
1,Tue,79,7.307727
1,Tue,80,7.088864
1,Tue,81,6.810455
1,Tue,82,6.484545
1,Tue,83,6.165227
1,Tue,84,5.860682
1,Tue,85,5.481591
1,Tue,86,5.152727
1,Tue,87,4.887045
1,Tue,88,4.662045
1,Tue,89,4.458409
1,Tue,90,4.400682
1,Tue,91,4.519318
1,Tue,92,4.614091
1,Tue,93,4.927955
1,Tue,94,5.369091
1,Tue,95,5.900682
2,Wed,0,6.449091
2,Wed,1,7.113636
2,Wed,2,7.653636
2,Wed,3,8.221591
2,Wed,4,8.569545
2,Wed,5,8.893409
